PID   USER     TIME  COMMAND
    1 root      0:00 bash /init nosoftlockup
  190 root      0:00 [mem_share_svc]
  191 root      0:00 [irq/73-arm-smmu]
  192 root      0:00 [geni_serial_dum]
  193 root      0:00 [hwrng]
  195 root      0:00 [diag_real_time_]
  196 root      0:00 [diag_wq]
  197 root      0:00 [DIAG_USB_diag]
  198 root      0:00 [diag_cntl_wq]
  199 root      0:00 [diag_dci_wq]
  200 root      0:00 [MODEM_CNTL]
  201 root      0:00 [MODEM_DATA]
  202 root      0:00 [MODEM_CMD]
  203 root      0:00 [MODEM_DCI]
  204 root      0:00 [MODEM_DCI_CMD]
  205 root      0:00 [LPASS_CNTL]
  206 root      0:00 [LPASS_DATA]
  207 root      0:00 [LPASS_CMD]
  208 root      0:00 [LPASS_DCI]
  209 root      0:00 [LPASS_DCI_CMD]
  210 root      0:00 [WCNSS_CNTL]
  211 root      0:00 [WCNSS_DATA]
  212 root      0:00 [WCNSS_CMD]
  213 root      0:00 [WCNSS_DCI]
  214 root      0:00 [WCNSS_DCI_CMD]
  215 root      0:00 [SENSORS_CNTL]
  216 root      0:00 [SENSORS_DATA]
  217 root      0:00 [SENSORS_CMD]
  218 root      0:00 [SENSORS_DCI]
  219 root      0:00 [SENSORS_DCI_CMD]
  220 root      0:00 [DIAG_CTRL]
  221 root      0:00 [DIAG_DATA]
  222 root      0:00 [DIAG_CMD]
  223 root      0:00 [DIAG_DCI_DATA]
  224 root      0:00 [DIAG_DCI_CMD]
  225 root      0:00 [CDSP_CNTL]
  226 root      0:00 [CDSP_DATA]
  227 root      0:00 [CDSP_CMD]
  228 root      0:00 [CDSP_DCI]
  229 root      0:00 [CDSP_DCI_CMD]
  230 root      0:00 [NPU_CNTL]
  231 root      0:00 [NPU_DATA]
  232 root      0:00 [NPU_CMD]
  233 root      0:00 [NPU_DCI]
  234 root      0:00 [NPU_DCI_CMD]
  235 root      0:00 [DIAG_RPMSG_DIAG]
  236 root      0:00 [DIAG_RPMSG_DIAG]
  237 root      0:00 [DIAG_RPMSG_DIAG]
  238 root      0:00 [DIAG_RPMSG_DIAG]
  239 root      0:00 [DIAG_RPMSG_DIAG]
  240 root      0:00 [DIAG_RPMSG_DIAG]
  241 root      0:00 [DIAG_RPMSG_DIAG]
  242 root      0:00 [DIAG_RPMSG_DIAG]
  243 root      0:00 [DIAG_RPMSG_DIAG]
  244 root      0:00 [DIAG_RPMSG_DIAG]
  245 root      0:00 [DIAG_RPMSG_APPS]
  246 root      0:00 [DIAG_RPMSG_APPS]
  247 root      0:00 [DIAG_RPMSG_DIAG]
  248 root      0:00 [DIAG_RPMSG_DIAG]
  249 root      0:00 [DIAG_RPMSG_DIAG]
  250 root      0:00 [DIAG_RPMSG_DIAG]
  251 root      0:00 [DIAG_RPMSG_DIAG]
  252 root      0:00 [DIAG_RPMSG_DIAG]
  253 root      0:00 [DIAG_RPMSG_DIAG]
  254 root      0:00 [DIAG_RPMSG_DIAG]
  255 root      0:00 [kgsl-workqueue]
  256 root      0:00 [kworker/u16:2+W]
  257 root      0:00 [kgsl-mementry]
  258 root      0:00 [kworker/u16:3+S]
  259 root      0:00 [kgsl_worker_thr]
  260 root      0:00 [kworker/u16:4+D]
  261 root      0:00 [kworker/u16:5+C]
  262 root      0:00 [kworker/u16:6+N]
  263 root      0:00 [kworker/u16:7-e]
  264 root      0:00 [qseecom-unreg-l]
  265 root      0:00 [qseecom-unload-]
  266 root      0:00 [kworker/u16:8-r]
  267 root      0:00 [irq/74-arm-smmu]
  268 root      0:00 [irq/75-arm-smmu]
  269 root      0:00 [irq/76-arm-smmu]
  270 root      0:00 [qcrypto_seq_res]
  271 root      0:00 [scsi_eh_0]
  272 root      0:00 [scsi_tmf_0]
  273 root      0:00 [ufs_pm_qos_0]
  274 root      0:00 [kworker/1:1-eve]
  281 root      0:00 [ufs_recovery_wq]
  282 root      0:00 [ufs_clk_gating_]
  283 root      0:00 [spi0]
  284 root      0:00 [spi1]
  285 root      0:00 [bond0]
  286 root      0:00 [irq/65-arm-smmu]
  290 root      0:00 [k_ipa_usb]
  293 root      0:00 [irq/162-qcom,te]
  294 root      0:00 [irq/182-qcom,te]
  295 root      0:00 [irq/171-bcl-lvl]
  296 root      0:00 [irq/172-bcl-lvl]
  297 root      0:00 [irq/173-bcl-lvl]
  298 root      0:00 [irq/193-limits_]
  299 root      0:00 [irq/193-limits_]
  300 root      0:00 [kworker/0:1H-kb]
  301 root      0:00 [kworker/1:1H]
  302 root      0:00 [kworker/2:1H]
  303 root      0:00 [kworker/3:1H]
  304 root      0:00 [kworker/4:1H]
  305 root      0:00 [kworker/5:1H]
  306 root      0:00 [kworker/6:1H]
  307 root      0:00 [kworker/7:1H]
  308 root      0:00 [dm_bufio_cache]
  309 root      0:00 [memlat_wq]
  310 root      0:00 [irq/26-4784000.]
  311 root      0:00 [irq/25-mmc0]
  312 root      0:00 [kworker/u16:11-]
  313 root      0:00 [irq/77-arm-smmu]
  314 root      0:00 [uaudio_svc]
  315 root      0:00 [msm_vidc_worker]
  316 root      0:00 [pm_workerq_venu]
  317 root      0:00 [vidc_core_workq]
  318 root      0:00 [irq/78-arm-smmu]
  319 root      0:00 [irq/79-arm-smmu]
  320 root      0:00 [irq/80-arm-smmu]
  321 root      0:00 [irq/81-arm-smmu]
  322 root      0:00 [apr_driver]
  323 root      0:00 [irq/218-4784000]
  324 root      0:00 [kworker/u17:1]
  326 root      0:00 [dsi_dma_cmd_wor]
  327 root      0:00 [irq/67-arm-smmu]
  328 root      0:00 [irq/82-arm-smmu]
  329 root      0:00 [crtc_commit:72]
  330 root      0:00 [crtc_event:72]
  331 root      0:00 [pp_event]
  332 root      0:00 [irq/83-arm-smmu]
  333 root      0:00 [irq/84-arm-smmu]
  334 root      0:00 [irq/85-arm-smmu]
  335 root      0:00 [cam-cpas]
  336 root      0:00 [qcom,cam_virtua]
  337 root      0:00 [qcom,cam-cpas-c]
  338 root      0:00 [qcom,cam-cpas-c]
  339 root      0:00 [qcom,cam-cpas-c]
  340 root      0:00 [qcom,cam-cpas-c]
  341 root      0:00 [qcom,cam-ope-cd]
  342 root      0:00 [qcom,cam-ope-cd]
  343 root      0:00 [qcom,cam-ope-cd]
  344 root      0:00 [qcom,cam-ope-cd]
  345 root      0:00 [cam_cci_wq]
  346 root      0:00 [cam_cci_wq]
  348 root      0:00 [ipv6_addrconf]
  350 root      0:00 [irq/55-arm-smmu]
  351 root      0:00 [irq/56-arm-smmu]
  352 root      0:00 [kgsl-events]
  353 root      0:00 [kgsl_devfreq_wq]
  358 root      0:00 [irq/222-chgr-er]
  359 root      0:00 [kworker/0:6-eve]
  360 root      0:00 [irq/223-chg-sta]
  361 root      0:00 [irq/230-otg-fai]
  362 root      0:00 [irq/234-high-du]
  363 root      0:00 [irq/235-input-c]
  364 root      0:00 [irq/237-switche]
  365 root      0:00 [irq/238-bat-tem]
  366 root      0:00 [irq/240-bat-ov]
  367 root      0:00 [irq/241-bat-low]
  368 root      0:00 [irq/242-bat-the]
  369 root      0:00 [irq/243-bat-ter]
  370 root      0:00 [irq/246-usbin-c]
  371 root      0:00 [irq/247-usbin-v]
  372 root      0:00 [irq/248-usbin-u]
  373 root      0:00 [irq/249-usbin-o]
  374 root      0:00 [irq/250-usbin-p]
  375 root      0:00 [irq/252-usbin-s]
  376 root      0:00 [irq/253-usbin-i]
  377 root      0:00 [irq/254-typec-o]
  378 root      0:00 [irq/256-typec-c]
  379 root      0:00 [irq/257-typec-v]
  380 root      0:00 [irq/259-typec-a]
  381 root      0:00 [irq/260-typec-l]
  382 root      0:00 [irq/262-wdog-sn]
  383 root      0:00 [irq/263-wdog-ba]
  384 root      0:00 [irq/265-aicl-do]
  385 root      0:00 [irq/266-smb-en]
  386 root      0:00 [irq/268-temp-ch]
  388 root      0:00 [irq/270-flash-s]
  389 root      0:00 [irq/272-ilim2-s]
  390 root      0:00 [mmc_complete]
  391 root      0:00 [sdhci_msm_pm_qo]
  392 root      0:00 [irq/275-qg-vbat]
  393 root      0:00 [irq/276-qg-vbat]
  394 root      0:00 [irq/277-qg-fifo]
  395 root      0:00 [irq/278-qg-good]
  397 root      0:00 [irq/161-thr-int]
  398 root      0:00 [irq/181-thr-int]
  399 root      0:00 [irq/52-hs_phy_i]
  400 root      0:00 [irq/50-pwr_even]
  401 root      0:00 [irq/51-ss_phy_i]
  402 root      0:00 [usb_bam_wq]
  403 root      0:00 [sbalanced]
  404 root      0:00 [rq_stats]
  405 root      0:00 [cdsprm-wq]
  406 root      0:00 [cdsprm-wq-delay]
  407 root      0:00 [irq/86-arm-smmu]
  408 root      0:00 [irq/87-arm-smmu]
  409 root      0:00 [irq/88-arm-smmu]
  410 root      0:00 [irq/89-arm-smmu]
  411 root      0:00 [irq/90-arm-smmu]
  412 root      0:00 [irq/91-arm-smmu]
  413 root      0:00 [irq/92-arm-smmu]
  414 root      0:00 [irq/93-arm-smmu]
  415 root      0:00 [irq/94-arm-smmu]
  416 root      0:00 [irq/95-arm-smmu]
  417 root      0:00 [irq/96-arm-smmu]
  418 root      0:00 [irq/97-arm-smmu]
  419 root      0:00 [sb-1]
  420 root      0:00 [ngd_rx_thread1]
  421 root      0:00 [ngd_notify_sl1]
  422 root      0:00 [fts_wq]
  423 root      0:00 [irq/279-fts_ts]
  424 root      0:00 [irq/177-qpnp_fl]
  425 root      0:00 [irq/176-qpnp_fl]
  426 root      0:00 [irq/175-qpnp_fl]
  427 root      0:00 [devfreq_boostd/]
  428 root      0:00 [devfreq_boostd/]
  429 root      0:00 [irq/98-arm-smmu]
  430 root      0:00 [irq/99-arm-smmu]
  431 root      0:00 [rot_commitq_0_0]
  432 root      0:00 [rot_commitq_0_1]
  433 root      0:00 [rot_doneq_0_0]
  434 root      0:00 [rot_doneq_0_1]
  435 root      0:00 [rot_fenceq_0_0]
  436 root      0:00 [rot_fenceq_0_1]
  437 root      0:00 [rot_fenceq_0_2]
  438 root      0:00 [rot_fenceq_0_3]
  439 root      0:00 [rot_fenceq_0_4]
  440 root      0:00 [rot_fenceq_0_5]
  441 root      0:00 [rot_fenceq_0_6]
  442 root      0:00 [rot_fenceq_0_7]
  443 root      0:00 [rot_fenceq_0_8]
  444 root      0:00 [rot_fenceq_0_9]
  445 root      0:00 [rot_fenceq_0_10]
  446 root      0:00 [rot_fenceq_0_11]
  447 root      0:00 [rot_fenceq_0_12]
  448 root      0:00 [rot_fenceq_0_13]
  449 root      0:00 [rot_fenceq_0_14]
  450 root      0:00 [rot_fenceq_0_15]
  464 root      0:00 [kworker/2:2]
  465 root      0:00 [kworker/3:2]
  466 root      0:00 [kworker/4:2-eve]
  467 root      0:00 [kworker/5:2]
  468 root      0:00 [kworker/6:2]
  469 root      0:00 [kworker/7:2]
  501 root      0:00 [kworker/1:0]
  529 root      0:00 [kworker/4:1]
  573 root      0:00 ps -A
