PID   USER     TIME  COMMAND
    1 root      0:00 bash /init kasan_multi_shot
  138 root      0:00 [irq/294-1c19000]
  139 root      0:00 [irq/295-1d87000]
  140 root      0:00 [irq/296-1d87000]
  141 root      0:00 [irq/297-1a34000]
  142 root      0:00 [irq/298-1a34000]
  143 root      0:00 [irq/299-1c87000]
  144 root      0:00 [irq/300-1c87000]
  145 root      0:00 [irq/301-1cc8000]
  146 root      0:00 [irq/302-1cc8000]
  147 root      0:00 [irq/303-1ccc000]
  148 root      0:00 [irq/304-1ccc000]
  149 root      0:00 [irq/305-1cd0000]
  150 root      0:00 [irq/306-1cd0000]
  151 root      0:00 [irq/307-1c4a000]
  152 root      0:00 [irq/308-1c4a000]
  153 root      0:00 [irq/309-1c4e000]
  154 root      0:00 [irq/310-1c4e000]
  155 root      0:00 [irq/311-101c000]
  156 root      0:00 [irq/312-101c000]
  157 root      0:00 [irq/313-1a47000]
  158 root      0:00 [irq/314-1a47000]
  159 root      0:00 [irq/315-1d0a000]
  160 root      0:00 [irq/316-1d0a000]
  161 root      0:00 [irq/317-1104000]
  162 root      0:00 [irq/318-1104000]
  163 root      0:00 [irq/319-1644000]
  164 root      0:00 [irq/320-1644000]
  165 root      0:00 [irq/321-1d4c000]
  166 root      0:00 [irq/322-1d4c000]
  167 root      0:00 [irq/323-16c4000]
  168 root      0:00 [irq/324-16c4000]
  169 root      0:00 [irq/325-20a5000]
  170 root      0:00 [irq/326-20a5000]
  171 root      0:00 [irq/327-1909000]
  172 root      0:00 [irq/328-1909000]
  173 root      0:00 [kworker/u19:1-t]
  174 root      0:00 [spmic-init]
  175 root      0:00 [irq/414-s2mpg14]
  176 root      0:00 [wq_odpm]
  177 root      0:00 [wq_odpm]
  178 root      0:00 [scsi_eh_0]
  179 root      0:00 [scsi_tmf_0]
  180 root      0:00 [ufs_mgc_hibern8]
  181 root      0:00 [ufs_eh_wq_0]
  182 root      0:00 [ufs_clk_gating_]
  183 root      0:00 [irq/460-max777x]
  185 root      0:00 [slg51002wq]
  186 root      0:06 [simpleinteracti]
  188 root      0:00 [simpleinteracti]
  191 root      0:00 [simpleinteracti]
  193 root      0:00 [simpleinteracti]
  195 root      0:00 [simpleinteracti]
  198 root      0:00 [simpleinteracti]
  200 root      0:00 [simpleinteracti]
  202 root      0:00 [simpleinteracti]
  205 root      0:00 [simpleinteracti]
  207 root      0:00 [simpleinteracti]
  214 root      0:00 [kworker/0:24-rc]
  215 root      0:00 [kworker/0:25-rc]
  228 root      0:00 [kworker/2:2]
  229 root      0:00 [kworker/3:2]
  230 root      0:00 [kworker/4:2-eve]
  231 root      0:00 [kworker/5:2]
  232 root      0:00 [kworker/6:2]
  233 root      0:00 [kworker/7:2]
  234 root      0:00 [kworker/8:2-rcu]
  247 root      0:00 [kworker/1:0]
  254 root      0:00 [kworker/u18:2-e]
  271 root      0:00 [kworker/u18:0-e]
  283 root      0:00 [kworker/u18:1-e]
  285 root      0:00 [kworker/8:0]
  329 root      0:00 ps -A
